date_local,tweets_total,retweets_total,tweet_ratio,avg_tweets_per_hour,active_hours_count,mean_intertweet_gap,std_intertweet_gap,min_gap,max_gap,burst_count,max_burst_length,burstiness,avg_tweet_length,morning_tweets,afternoon_tweets,evening_tweets,night_tweets,tweet_entropy,time_of_first_tweet_sin,time_of_first_tweet_cos,time_of_last_tweet_sin,time_of_last_tweet_cos,7d_avg_tweets,7d_var_tweets
2024-09-24,26.0,10.0,0.6153846153846154,1.0833333333333333,12.0,43.654666666666664,65.14581584926745,0.43333333333333335,265.46666666666664,16.0,5.0,0.19752806867794315,88.76923076923077,9.0,10.0,3.0,4.0,2.355024322457519,0.42623984253851266,0.9046101904316267,-0.882366522365927,0.4705627696788813,38.142857142857146,185.55102040816286
2024-09-25,23.0,8.0,0.6521739130434783,0.9583333333333334,8.0,62.36818181818182,145.9441032915791,0.48333333333333334,638.85,12.0,5.0,0.40120495740018713,68.1304347826087,0.0,7.0,4.0,12.0,1.8465147072906172,0.18809560442138806,0.9821507234622152,-0.1068425356870851,0.9942759539322843,34.0,173.71428571428532
2024-09-26,25.0,3.0,0.88,1.0416666666666667,6.0,48.76458333333334,161.8752262484119,0.38333333333333336,813.45,10.0,9.0,0.536986067067168,82.52,0.0,1.0,8.0,16.0,1.464574965418482,0.5556911594959543,0.8313887990934458,-0.5541787344724936,0.8323976995754286,32.285714285714285,181.0612244897955
2024-09-27,29.0,5.0,0.8275862068965517,1.2083333333333333,10.0,44.50595238095239,93.35690988512485,0.5,454.6166666666667,13.0,7.0,0.3543445762056604,81.34482758620689,5.0,7.0,10.0,7.0,2.067512441681069,0.23747397270533202,0.9713939017142054,-0.5695784258005459,0.8219369908104709,33.857142857142854,150.97959183673427
2024-09-28,35.0,8.0,0.7714285714285715,1.4583333333333333,8.0,18.64607843137255,51.138043833382596,0.2,272.95,10.0,7.0,0.4656068507781502,83.8,9.0,3.0,0.0,23.0,1.9101474283649003,0.43791355497723766,0.8990170845802642,-0.07780659810059205,-0.9969684715636764,31.0,79.1428571428567
2024-09-29,25.0,4.0,0.84,1.0416666666666667,11.0,53.68402777777777,93.91906305223844,0.38333333333333336,396.71666666666664,13.0,5.0,0.2725893817548607,81.8,3.0,6.0,11.0,5.0,2.258750794931097,0.6049466090392822,0.7962660360783158,-0.011707982900032414,0.9999314592192869,27.285714285714285,13.346938775509745
2024-09-30,31.0,10.0,0.6774193548387096,1.2916666666666667,8.0,43.42111111111111,112.00294737634208,0.2,562.4833333333333,8.0,14.0,0.44125624393450863,71.93548387096774,1.0,1.0,3.0,26.0,1.5431690360925234,0.010835373739834819,0.9999412956148567,-0.5551468978180194,0.8317523200106084,27.714285714285715,15.061224489795462
2024-10-01,78.0,9.0,0.8846153846153846,3.25,15.0,17.692207792207796,50.98537758181541,0.23333333333333334,376.15,22.0,12.0,0.4847749030238986,86.17948717948718,9.0,20.0,17.0,32.0,2.469451025067194,0.1960887667902017,0.9805861489633115,-0.1411892121806054,0.9899826293242826,35.142857142857146,320.69387755101997
2024-10-02,31.0,9.0,0.7096774193548387,1.2916666666666667,10.0,38.32166666666667,98.66876510062079,0.2,513.2666666666667,13.0,6.0,0.4405205360361865,93.70967741935483,0.0,8.0,13.0,10.0,2.1558850809021033,0.3184768023456523,0.9479306548306623,-0.8091879399437856,0.5875498939235139,36.285714285714285,300.7755102040812
2024-10-03,52.0,10.0,0.8076923076923077,2.1666666666666665,11.0,27.58333333333334,68.30352881023266,0.3,326.3,16.0,17.0,0.42466918372958395,100.48076923076923,1.0,10.0,32.0,9.0,1.9270854959812722,0.10539630743387983,0.9944302984017045,-0.039477812781324735,0.9992204472977936,40.142857142857146,302.9795918367343
2024-10-04,46.0,14.0,0.6956521739130435,1.9166666666666667,11.0,20.901851851851852,48.84995700141179,0.016666666666666666,264.93333333333334,13.0,8.0,0.4006792885952844,96.69565217391305,17.0,15.0,0.0,14.0,2.193034991875495,0.041076399527872676,0.9991560085401211,-0.8433914458128855,-0.5372996083468242,42.57142857142857,284.2448979591833
2024-10-05,51.0,7.0,0.8627450980392157,2.125,12.0,14.380666666666666,22.373582974372052,0.23333333333333334,88.61666666666666,16.0,9.0,0.217469173925965,93.33333333333333,1.0,32.0,18.0,0.0,2.242274420999176,0.014543897651583058,-0.9998942319271075,-0.018761188683828502,0.9998239934104252,44.857142857142854,280.97959183673436
2024-10-06,43.0,10.0,0.7674418604651163,1.7916666666666667,15.0,33.613095238095234,67.35523350587644,0.2,363.2,20.0,7.0,0.3341853696850042,84.48837209302326,9.0,10.0,17.0,7.0,2.497054659157922,0.04630738118541297,0.9989272378145211,-0.07686404275937159,0.9970415833508076,47.42857142857143,218.53061224489764
2024-10-07,24.0,6.0,0.75,1.0,10.0,60.155072463768114,112.36542110784592,0.15,505.0,14.0,4.0,0.30263273402011837,81.375,0.0,9.0,7.0,8.0,2.1855673437540353,0.03766111450152919,0.999290568580782,-0.20705801694903778,0.9783286654377107,46.42857142857143,257.3877551020405
2024-10-08,14.0,3.0,0.7857142857142857,0.5833333333333334,5.0,65.28333333333333,131.7031594997714,0.4,474.21666666666664,7.0,5.0,0.33717959648488055,90.35714285714286,5.0,1.0,0.0,8.0,1.4327570529970874,0.059524154309369595,0.9982268655239421,-0.5818864241083356,-0.8132700593520054,37.285714285714285,181.63265306122406
2024-10-09,7.0,3.0,0.5714285714285714,0.2916666666666667,5.0,197.9416666666667,303.29567695903125,0.5833333333333334,846.9,4.0,4.0,0.21018787133912817,111.42857142857143,0.0,0.0,2.0,5.0,1.5498260458782016,0.6394949120455197,0.7687953287240323,-0.3960797660391569,0.918216106880274,33.857142857142854,295.2653061224484
2024-10-10,29.0,4.0,0.8620689655172413,1.2083333333333333,9.0,46.65595238095238,109.65839491657843,0.7166666666666667,465.6666666666667,14.0,6.0,0.40304964723235776,72.51724137931035,5.0,5.0,14.0,5.0,1.9425284427779266,0.4783725826844353,0.8781569746553421,-0.08418510150827875,0.9964501335661714,30.571428571428573,240.81632653061163
2024-10-11,28.0,9.0,0.6785714285714286,1.1666666666666667,6.0,44.45864197530864,127.16794429809543,0.6,638.2833333333333,11.0,8.0,0.4819142774944522,103.42857142857143,0.0,7.0,7.0,14.0,1.7004333880566884,0.34611705707749296,0.9381913359224842,-0.6381521377445245,0.7699102863919234,28.0,201.14285714285649
2024-10-12,1.0,0.0,1.0,0.041666666666666664,1.0,,,,,1.0,1.0,,138.0,0.0,0.0,0.0,1.0,-0.0,0.1828075291372614,0.9831487208407126,0.1828075291372614,0.9831487208407126,20.857142857142858,178.6938775510196
2024-10-13,33.0,6.0,0.8181818181818182,1.375,10.0,36.475,71.57500266814138,0.2833333333333333,312.3,16.0,9.0,0.32484962333546186,77.12121212121212,9.0,4.0,1.0,19.0,2.076946149096956,0.44320157480327244,0.8964219788090313,-0.6677242926815815,0.7444086706661077,19.428571428571427,127.67346938775427
2024-10-14,29.0,6.0,0.7931034482758621,1.2083333333333333,11.0,43.44166666666667,80.87594906339437,0.16666666666666666,382.6166666666667,15.0,5.0,0.30111808513132365,99.0,4.0,13.0,6.0,6.0,2.232352329022562,0.3286606079507881,0.9444480953347401,-0.5979166413134962,0.8015582886106213,20.142857142857142,137.26530612244815
2024-10-15,23.0,4.0,0.8260869565217391,0.9583333333333334,6.0,26.694696969696974,52.98800950376226,0.4,197.96666666666667,11.0,4.0,0.3299751438892588,105.78260869565217,16.0,7.0,0.0,0.0,1.5641908713675923,0.9834003709073291,-0.18144891980755218,-0.9223696183664268,-0.38630853875441595,21.428571428571427,131.38775510204002
2024-10-16,29.0,10.0,0.6551724137931034,1.2083333333333333,6.0,42.93452380952381,135.0055037773278,0.23333333333333334,575.9333333333333,9.0,9.0,0.5174270298618707,90.58620689655173,2.0,4.0,3.0,20.0,1.6030321946493835,0.08280820751220434,0.9965655024977614,-0.8162216274321922,0.5777389158711257,24.571428571428573,99.95918367346867
2024-10-17,81.0,18.0,0.7777777777777778,3.375,14.0,17.589374999999997,54.799435522979174,0.36666666666666664,434.5833333333333,17.0,26.0,0.5140305560231188,85.20987654320987,0.0,17.0,37.0,27.0,2.2394015865838184,0.060613015272006424,0.998161340856094,-0.0825907886778603,0.9965835447294767,32.0,496.8571428571423
