date,time,char_count,is_RT,time_sin,time_cos,day_tweet_count,day_tweet_index,retweets_total,tweet_ratio,avg_tweets_per_hour,active_hours_count,mean_intertweet_gap,std_intertweet_gap,min_gap,max_gap,burst_count,max_burst_length,burstiness,avg_tweet_length,tweet_entropy,7d_avg_tweets,7d_var_tweets
2025-06-16,3:24:48 PM EDT,140,1,-0.7793379649314742,-0.6266038113644603,30,26,16,0.6153846153846154,1.6868512110726643,9,36.84866666666667,82.1176744975702,0.5333333333333333,386.0833333333333,11,6,0.3805194594360788,100.96153846153847,1.9910824778410754,25.593844095015054,87.86843318854214
2025-06-16,3:35:32 PM EDT,140,1,-0.8078184594430893,-0.5894313671522697,30,27,17,0.6296296296296297,1.7316325803463264,9,35.84423076923077,80.6794681437839,0.5333333333333333,386.0833333333333,12,6,0.3847735507265589,102.4074074074074,2.024405016900238,25.71553890818962,91.24365841625723
2025-06-16,7:27:12 PM EDT,140,1,-0.9284858268809135,0.37136783555023495,30,28,18,0.6428571428571429,1.4393420150788212,10,43.09691358024691,87.3826789059396,0.5333333333333333,386.0833333333333,13,6,0.3394075999308558,103.75,2.1061809413962584,25.25491475650542,74.2072349151858
2025-06-16,8:59:09 PM EDT,94,0,-0.7097244469860955,0.704479388875417,30,29,18,0.6206896551724138,1.3818846046936426,11,44.84166666666667,86.28568970585953,0.5333333333333333,386.0833333333333,14,6,0.31605931962398814,103.41379310344827,2.18354893599301,25.16579706338423,71.29467295453416
2025-06-16,11:42:40 PM EDT,106,1,-0.07555885289920837,0.9971413439169774,30,30,19,0.6333333333333333,1.2652296157450795,12,48.933908045977006,87.50650730950692,0.5333333333333333,386.0833333333333,15,6,0.2827065511566516,103.5,2.2569087174684728,24.899960249105604,65.88074985973878
2025-06-17,1:23:02 AM EDT,140,1,0.35442704415290516,0.9350836702525794,26,1,1,1.0,0.7226013649136892,1,0.0,0.0,0.0,0.0,1,1,0.0,140.0,0.0,26.577910589206354,53.535312124201745
2025-06-17,1:26:47 AM EDT,140,1,0.36967918786884996,0.929159457820146,26,2,2,1.0,1.382753985020165,1,3.75,0.0,3.75,3.75,1,2,-1.0,140.0,0.0,26.73149900593384,53.11142142947069
2025-06-17,1:30:27 AM EDT,140,1,0.3844967267373637,0.9231263549093661,26,3,3,1.0,1.990049751243781,1,3.7083333333333335,0.041666666666666664,3.6666666666666665,3.75,1,3,-0.9777777777777779,140.0,0.0,26.885212102468945,57.23317509606544
2025-06-17,1:32:11 AM EDT,109,1,0.39146735441643077,0.920191996501926,26,4,4,1.0,2.603507503163985,1,3.05,0.9316452989002644,1.7333333333333334,3.75,1,4,-0.5320299881269756,132.25,0.0,27.044782614504584,66.06057076172098
2025-06-17,1:37:29 AM EDT,80,1,0.41264078882656074,0.91089383541475,26,5,5,1.0,3.0774491366045478,1,3.6125,1.2649865502139626,1.7333333333333334,5.3,1,5,-0.48129573000730425,121.8,0.0,27.19318491785392,77.198713701677
